UserID,cenario,realizacao,social,imersao,media,dimensao1,dimensao2,dimensao3,dimensao4,dimensao5,dimensao6,dimensao7,dimensao8,dimensao9,nota.pos,nota.pre,dif.nota
00552973,não gamificado,3.2857142857142856,1.4285714285714286,1.2,2.227777778,2.25,2,2.5,2.75,1.5,2.8,2.25,2.5,1.5,9.069007745943964,2.6186827421188354,6.450325003825128
093da413,não gamificado,3.7142857142857144,4.571428571428571,2.6,3.194444444,3,3.25,3.25,4.75,2.75,3,2.75,3.25,2.75,6.260898501146585,3.857933721970767,2.402964779175818
0cacbb98,gamificado,3,2.4285714285714284,4,3.714285714,3.25,2.25,3,3,4,3.75,2.75,1.75,2.25,6.245016327127814,1.0602220275904983,5.184794299537316
0ec7e6c2,gamificado,3.142857142857143,4.285714285714286,2.8,3.283333333,3,3,4,3.5,3.25,3.8,3.25,3,2.75,4.624471816234291,2.7490917856339365,1.875380030600354
1183088b,gamificado,3.2857142857142856,2,3.4,3.85,3.25,4.25,4.25,4,3.75,4.4,3.75,3.5,3.5,8.690938390791416,3.420083288801834,5.270855101989582
14121700,gamificado,3.142857142857143,2.2857142857142856,3.4,2.244444444,2.75,1.75,2.75,3,2.25,2.2,1.75,2,1.75,6.174410274717957,1.7614623894914985,4.412947885226458
29f829ab,não gamificado,3.142857142857143,4.571428571428571,2.6,2.627777778,2,2.5,2.75,1.5,3.5,3.4,3.5,2,2.5,8.377789986785501,1.8511353305075318,6.5266546562779695
2c693620,não gamificado,3.142857142857143,3.7142857142857144,3.6,3.972222222,3.25,3.75,3.75,4,4.75,4,3.75,4.5,4,8.118942106608301,1.3519936818629503,6.766948424745351
2d7b15a3,não gamificado,4.285714285714286,1.8571428571428572,3.2,2.088888889,1.5,1.75,2.5,2.75,2,1.8,2,2.25,2.25,4.364693349227309,2.4272515170741826,1.9374418321531266
3054a6b0,gamificado,2.5714285714285716,3.7142857142857144,2,3.072222222,3.25,4.25,2.25,3,4.5,3.4,2.25,3,1.75,9.864301460795105,2.8436864719260484,7.020614988869056
31468533,gamificado,2.2857142857142856,3.4285714285714284,3.2,2.666666667,3,3.25,2,1.5,2.5,3,1.75,3.75,3.25,5.043902900535613,1.2248702535871416,3.8190326469484717
3362c235,gamificado,3.142857142857143,3.5714285714285716,3,2.638888889,4,3,1.5,3.5,2,1,3,3.25,2.5,5.826866743620485,1.1193419110495597,4.707524832570925
34d79ab8,não gamificado,4.142857142857143,4,3.6,2.183333333,1.25,2.75,3.75,2.25,2.25,2.4,2,1.5,1.5,6.506662610452622,3.5348006195854396,2.9718619908671826
35c5b93b,não gamificado,2.857142857142857,4.142857142857143,4.8,2.172222222,2.25,1.25,3.25,3.25,1.25,1.8,2.75,1.5,2.25,9.330451902467757,3.5871986190322787,5.743253283435479
3b4ccbc1,gamificado,3.142857142857143,3.4285714285714284,3.2,4.094444444,4.25,4.5,4.5,2.75,4,4.6,4,4,4.25,8.91373229958117,2.067284697201103,6.846447602380067
4779490d,não gamificado,2,3.142857142857143,3.4,4.011111111,4.5,5,4.25,4.25,3.5,3.6,4,3.5,3.5,4.541932505555451,2.895366615150124,1.646565890405327
49a49ce0,gamificado,3.142857142857143,3.7142857142857144,2,3.666666667,1,4,4.25,4,3.5,4,4.5,4.25,3.5,8.512225247453898,2.285839274059981,6.226385973393917
4c35836b,gamificado,2.142857142857143,3.2857142857142856,3.8,4.161111111,4.25,5,4.25,4.25,4.25,4.2,4.5,3.5,3.25,4.191829768475145,3.5366683688480407,0.6551613996271044
4d27a0e8,gamificado,3.4285714285714284,2.857142857142857,4,4.083333333,3,4,4.25,4.5,4,4,5,4.75,3.25,4.721422771457583,3.2098610382527113,1.5115617332048714
500813fb,gamificado,2,3.142857142857143,3.8,1.95,2,1.25,2.75,2,2,1.8,2.25,1.75,1.75,7.159540477208793,3.7511713991407305,3.4083690780680627
511a3078,gamificado,2.142857142857143,3.142857142857143,3.2,2.838888889,3.25,1.5,2,3.75,2.75,3.8,2.25,3.25,3,5.354910539928824,3.1380596649833024,2.2168508749455214
56af68f5,não gamificado,3.7142857142857144,4,4.4,3.811111111,2.75,4.5,4.25,4.25,3.75,2.8,4,4.5,3.5,9.875222380738705,2.344429341610521,7.530793039128184
60099c38,não gamificado,2.7142857142857144,4.142857142857143,3.8,2.316666667,1.75,3,3.25,4.25,2.5,1.6,1.75,1.5,1.25,6.311149559915066,2.003763883607462,4.307385676307604
69611158,gamificado,3.142857142857143,4,3.8,3.244444444,4,3,3.75,2.25,3.25,3.2,3.75,3,3,9.19300488429144,3.493665936635807,5.699338947655633
6a5775dd,gamificado,2.7142857142857144,2.7142857142857144,2.6,2.738888889,3.25,2.25,4.25,2.25,1.75,3.4,2.5,2,3,7.050223778467625,1.169146676082164,5.881077102385461
6cf00ed3,não gamificado,2.5714285714285716,4.142857142857143,3.6,4.094444444,4,4.75,4.5,4,4.25,3.6,3.25,4.5,4,4.579802458174527,1.2588336798362434,3.3209687783382833
71dfbdc0,não gamificado,2.142857142857143,3.857142857142857,3.6,4.055555556,3.25,4.5,4.5,3.25,3.75,4,4.5,4.5,4.25,8.52919272147119,2.3782740151509643,6.150918706320226
744ea24b,gamificado,3.5714285714285716,2.7142857142857144,2.8,2.338888889,2.75,1.75,3.75,2.5,3.25,1.8,2.25,2,1,5.6425076187588274,1.5120947659015656,4.130412852857262
7d262f2b,gamificado,3.142857142857143,1.5714285714285714,2.2,2.966666667,2,3.5,3.25,3,3.5,2.2,3,2.75,3.5,6.024969983845949,2.5087249123025686,3.5162450715433806
8b39b170,gamificado,1.8571428571428572,3.4285714285714284,2,2.605555556,1.75,1.5,3.25,4,2.25,4.2,2.25,2.25,2,4.264882407616824,3.2012432746123523,1.0636391330044717
8c8ce9fd,não gamificado,2,2.857142857142857,2.6,4.272222222,3.75,4.5,4.5,4.25,4,4.2,5,4.25,4,5.910967528820038,1.7058065740857273,4.2051609547343105
8d9eca7e,gamificado,4,3.5714285714285716,2.2,2.155555556,1.25,2,3.5,2.75,2.25,1.4,3,1.5,1.75,7.49643841991201,3.258796173846349,4.237642246065661
90b1796d,não gamificado,2.857142857142857,3.4285714285714284,2.8,2.061111111,2,2.25,2.75,2.5,1.75,1.8,2.25,1,2.25,4.5301798060536385,3.572342273313552,0.9578375327400863
91a35aee,não gamificado,3.2857142857142856,4,3,2.916666667,2.75,3,3.75,2.5,2.25,3,4.25,1.75,3,9.366007752716541,2.051634319126606,7.314373433589935
94324565,gamificado,1.5714285714285714,4.142857142857143,2.4,2.011111111,1.25,1.25,2.25,2.5,2.75,1.6,2.25,1.5,2.75,5.319899066351354,1.4950776766054332,3.824821389745921
a0b0f6ae,gamificado,2.857142857142857,3.142857142857143,3.2,2.027777778,1.75,2.25,1.5,2,2.75,2,2,2.5,1.5,5.985986971762031,1.5205532384570688,4.4654337333049625
a9d87bce,gamificado,2.7142857142857144,2.5714285714285716,2.2,3.988888889,3.25,4,4,2.5,4.25,4.4,4.5,4.75,4.25,6.18646648991853,2.5670072983484715,3.6194591915700585
ac496445,gamificado,2.2857142857142856,3.2857142857142856,3.6,1.905555556,2.25,1.75,1.5,2.75,1.5,2.4,1.75,1.5,1.75,9.3513767356053,1.605985626578331,7.7453911090269685
b166d756,gamificado,2.7142857142857144,3.2857142857142856,3.4,3.361111111,3,2.5,4.25,2.5,3.75,4,3.75,3.5,3,4.131962291896343,1.8490070381667465,2.2829552537295967
b4f7c8dd,não gamificado,3.4285714285714284,3.142857142857143,3.4,3.466666667,3.25,3.25,4,3.75,3.5,3.2,2.75,4,3.5,8.652445548214018,3.659698362695053,4.992747185518965
b7c1ac58,não gamificado,3.4285714285714284,3,3.8,3.938888889,3.5,4.75,4.5,3.25,2.75,4.2,3.25,5,4.25,9.284584689419717,3.7274395134299994,5.557145175989717
bd9f45bd,não gamificado,2.857142857142857,3,1.8,2.8,3,3,3.25,2.75,3,2.2,2.5,3.25,2.25,8.792941346764565,1.069433476543054,7.7235078702215105
be4d70e5,não gamificado,3.7142857142857144,3.5714285714285716,3,3.094444444,3.75,2.5,3.25,4.75,3,1.6,4,3.25,1.75,9.723707486409694,1.2889033320825547,8.43480415432714
c0ec43e5,gamificado,3.5714285714285716,3,4.6,3.155555556,3.25,3.5,3,2.75,3.25,3.4,3.5,3,2.75,5.690870018210262,1.256135371979326,4.434734646230936
c984ce85,não gamificado,3.5714285714285716,2.5714285714285716,4.4,4.428571429,3.25,4,4,3.25,2.75,3.5,3.5,3.25,3.5,9.102804884314537,2.437814679928124,6.664990204386413
cba08983,não gamificado,1.5714285714285714,3.2857142857142856,2,2.361111111,2.25,1.5,4.5,2.75,2,2,2.25,2.5,1.5,4.877692347858101,1.4715034754481167,3.4061888724099845
cc15d10e,não gamificado,3.7142857142857144,4.285714285714286,3.4,3.983333333,4.25,4.25,4.75,4.5,4,2.6,3.75,4.25,3.5,9.958268682006747,2.2613047030754387,7.696963978931308
d13a621d,não gamificado,2.142857142857143,1.5714285714285714,1.4,2.6,2.5,2.25,2.25,2.75,2.25,3.4,3.5,2,2.5,7.778472542762756,2.5639415390323848,5.214531003730372
dc9e6a2e,gamificado,3,3.4285714285714284,1.4,2.205555556,2,2,3.25,2.75,3,1.6,1.75,2,1.5,7.5036330739967525,2.7618343725334853,4.741798701463267
ddc3f0f6,não gamificado,2.5714285714285716,2.5714285714285716,3.8,3.066666667,2.75,3.75,2,2.5,2.5,3.6,3.5,3.5,3.5,9.420405308250338,3.144264431670308,6.27614087658003
ecd05cb6,não gamificado,2.2857142857142856,4.571428571428571,3.8,3.077777778,2.5,2,3.5,3.5,2.5,3.2,3.75,3.25,3.5,8.808577502146363,3.806938441703096,5.001639060443267
eef41bb0,gamificado,2.4285714285714284,2.7142857142857144,2.6,3.15,2.25,3.75,4,3.75,3,2.6,2.5,3.75,2.75,8.554812036454678,2.904401529347524,5.6504105071071535
f0edcc26,não gamificado,2.5714285714285716,3.857142857142857,3,1.911111111,2,1.5,1.5,2,2.25,2.2,2.25,1.5,2,9.814233181998134,2.701358398422599,7.112874783575535
f1ffefa5,gamificado,2.142857142857143,3.7142857142857144,2.4,2.633333333,2.25,1.75,2.75,2,3.75,3.2,1.5,4.25,2.25,5.423378184437752,3.419305491494015,2.004072692943737
f46ef02e,não gamificado,2,2.2857142857142856,2.8,2.688888889,3.5,2.5,2.25,2,3,3.2,2,3.25,2.5,6.747529366519302,1.4203106497880071,5.327218716731295
