UserID,cenario,media,dimensao1,dimensao2,dimensao3,dimensao4,dimensao5,dimensao6,dimensao7,dimensao8,dimensao9,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30,Q31,Q32,Q33,Q34,Q35,Q36
c0ec43e5,não gamificado,4.428571429,3.25,4,4,3.25,2.75,3.5,3.5,3.25,3.5,3,4,4,3,2,4,4,4,4,3,4,4,4,2,2,2,2,2,3,4,4,4,3,4,4,4,4,4,4,4,2,4,4,4,3,4
edc27f35,gamificado,3.283333333,3,3,4,3.5,3.25,3.8,3.25,3,2.75,5,3,1,3,1,4,4,3,4,2,5,5,4,5,3,2,1,5,4,3,5,3,1,5,3,4,2,4,4,1,2,5,3,4,2,2
3054a6b0,não gamificado,3.933333333,4,4,4,4,4,3.4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
8d9eca7e,gamificado,3.361111111,3,2.5,4.25,2.5,3.75,4,3.75,3.5,3,4,1,2,5,3,2,1,4,4,4,5,4,1,4,2,3,5,2,4,4,5,1,1,4,4,5,5,1,1,3,5,5,5,3,2,2
500813fb,não gamificado,2.916666667,2.75,3,3.75,2.5,2.25,3,4.25,1.75,3,4,5,1,1,2,5,3,2,4,1,5,5,3,1,4,2,2,4,1,2,3,5,1,3,4,4,5,4,2,1,2,2,2,5,3,2
2d7b15a3,gamificado,1.644444444,1.5,1.5,1.5,1.5,1.5,2.8,1.5,1.5,1.5,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2
f0edcc26,não gamificado,3.094444444,3.75,2.5,3.25,4.75,3,1.6,4,3.25,1.75,4,3,3,5,1,4,1,4,4,1,5,3,5,4,5,5,3,3,1,5,4,1,3,4,5,2,4,5,3,4,3,3,2,2,1,2
4d27a0e8,gamificado,2.738888889,3.25,2.25,4.25,2.25,1.75,3.4,2.5,2,3,5,2,1,5,1,3,2,3,4,4,4,5,1,4,3,1,1,1,4,1,2,3,3,4,1,3,3,3,1,1,1,5,2,2,4,4
90b1796d,não gamificado,3.983333333,4.25,4.25,4.75,4.5,4,2.6,3.75,4.25,3.5,4,4,5,4,4,4,5,4,5,5,4,5,5,5,3,5,2,5,5,4,3,5,5,5,4,5,3,3,3,5,5,4,4,4,3,3
b7c1ac58,gamificado,4.1,3.75,4.25,4.5,4,4,4.4,4.75,3.5,3.75,1,5,5,4,5,4,4,4,5,4,4,5,4,4,3,5,4,5,4,3,5,3,5,5,5,5,4,5,5,3,3,3,4,5,3,3
6a5775dd,não gamificado,4.272222222,3.75,4.5,4.5,4.25,4,4.2,5,4.25,4,1,5,5,4,4,5,5,4,4,5,4,5,5,4,3,5,3,3,5,5,3,5,5,4,5,5,5,5,5,4,3,5,5,4,4,3
7d262f2b,gamificado,3.714285714,3.25,2.25,3,3,4,3.75,2.75,1.75,2.25,4,1,2,2,3,2,3,2,4,4,2,4,4,5,5,1,2,2,4,2,2,2,4,4,3,2,2,1,4,4,4,4,4,4,1,1
91a35aee,gamificado,3.85,3.25,4.25,4.25,4,3.75,4.4,3.75,3.5,3.5,1,4,4,4,4,4,5,4,4,4,5,4,5,5,2,4,3,4,3,5,4,3,4,5,5,4,3,3,5,3,3,3,4,3,3,4
4c35836b,não gamificado,3.938888889,3.5,4.75,4.5,3.25,2.75,4.2,3.25,5,4.25,2,4,4,4,5,5,5,4,4,4,5,5,5,4,3,1,1,3,3,4,5,5,5,4,3,3,3,4,5,5,5,5,4,5,4,4
f1ffefa5,gamificado,4.094444444,4.25,4.5,4.5,2.75,4,4.6,4,4,4.25,3,4,5,5,5,5,4,4,4,5,4,5,5,4,1,1,3,5,5,3,4,3,5,3,5,4,3,4,4,3,4,5,4,5,4,4
2c693620,não gamificado,4.011111111,4.5,5,4.25,4.25,3.5,3.6,4,3.5,3.5,5,4,5,4,5,5,5,5,5,4,4,4,4,4,4,5,2,3,5,4,5,3,4,5,3,5,3,5,3,4,3,4,3,3,3,5
511a3078,gamificado,4.161111111,4.25,5,4.25,4.25,4.25,4.2,4.5,3.5,3.25,4,4,4,5,5,5,5,5,4,4,5,4,5,5,4,3,4,5,5,3,4,3,5,3,5,3,5,5,4,3,3,4,3,4,3,3
8c8ce9fd,não gamificado,4.094444444,4,4.75,4.5,4,4.25,3.6,3.25,4.5,4,3,4,4,5,4,5,5,5,5,4,5,4,5,5,5,1,3,4,5,5,4,3,1,4,1,4,5,3,5,4,5,4,2,5,4,5
31468533,gamificado,3.072222222,3.25,4.25,2.25,3,4.5,3.4,2.25,3,1.75,3,1,5,4,4,4,5,4,2,1,4,2,4,1,4,3,5,3,5,5,4,2,4,1,2,5,1,1,3,5,3,1,3,1,1,2
ecd05cb6,não gamificado,1.327777778,1.5,1,1,1,1,3.2,1,1,1.25,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
cba08983,gamificado,2.638888889,4,3,1.5,3.5,2,1,3,3.25,2.5,5,3,3,5,2,1,4,5,1,2,1,2,3,3,5,3,2,1,4,1,2,4,1,3,1,2,4,5,5,2,2,4,1,5,3,1
16365006,não gamificado,2.8,3,3,3.25,2.75,3,2.2,2.5,3.25,2.25,4,2,2,4,3,4,2,3,2,5,4,2,4,3,1,3,2,5,1,4,1,3,1,2,1,2,4,3,5,2,1,5,2,3,3,1
a0b0f6ae,não gamificado,3.811111111,2.75,4.5,4.25,4.25,3.75,2.8,4,4.5,3.5,2,4,2,3,3,5,5,5,5,5,5,2,4,3,5,5,3,4,3,5,4,3,4,4,4,4,4,4,4,5,4,5,4,3,3,4
0cacbb98,gamificado,2.966666667,2,3.5,3.25,3,3.5,2.2,3,2.75,3.5,1,5,1,1,5,2,4,3,4,2,5,2,3,2,5,2,5,1,3,5,2,2,3,4,1,5,1,5,5,1,4,1,5,1,3,5
d13a621d,não gamificado,2.688888889,3.5,2.5,2.25,2,3,3.2,2,3.25,2.5,5,3,5,1,1,1,5,3,3,1,1,4,1,3,1,3,1,1,5,5,1,1,4,4,5,1,1,1,1,4,5,3,5,2,2,1
6cf00ed3,gamificado,2.666666667,3,3.25,2,1.5,2.5,3,1.75,3.75,3.25,1,2,4,5,2,1,5,5,4,1,1,2,2,1,2,1,4,3,1,2,3,3,3,5,2,3,1,1,5,4,5,1,1,4,4,4
b166d756,não gamificado,3.466666667,3.25,3.25,4,3.75,3.5,3.2,2.75,4,3.5,5,2,3,3,3,3,4,3,5,3,5,3,5,2,3,5,5,5,2,2,1,2,3,5,3,3,2,3,5,4,5,2,5,1,3,5
cc15d10e,gamificado,3.15,2.25,3.75,4,3.75,3,2.6,2.5,3.75,2.75,3,4,1,1,3,4,5,3,5,4,3,4,4,2,5,4,4,3,1,4,4,5,3,2,2,3,2,3,4,5,2,4,4,3,2,2
dc9e6a2e,gamificado,2.011111111,1.25,1.25,2.25,2.5,2.75,1.6,2.25,1.5,2.75,2,1,1,1,1,2,1,1,4,1,1,3,5,3,1,1,4,3,2,2,2,1,2,2,1,3,2,3,2,2,1,1,2,2,5,2
1183088b,não gamificado,3.066666667,2.75,3.75,2,2.5,2.5,3.6,3.5,3.5,3.5,4,2,3,2,5,3,3,4,2,1,4,1,1,5,2,2,3,2,2,3,2,4,4,3,3,5,1,5,5,4,4,1,5,2,5,2
ac496445,gamificado,3.244444444,4,3,3.75,2.25,3.25,3.2,3.75,3,3,3,5,4,4,4,5,2,1,1,4,5,5,3,1,2,3,5,1,3,4,5,3,1,3,3,4,4,4,1,5,3,3,5,1,3,3
71dfbdc0,não gamificado,3.077777778,2.5,2,3.5,3.5,2.5,3.2,3.75,3.25,3.5,3,1,3,3,4,2,1,1,3,2,4,5,4,5,4,1,1,3,1,5,3,3,3,2,2,4,4,5,3,3,2,5,3,5,1,5
56af68f5,gamificado,2.633333333,2.25,1.75,2.75,2,3.75,3.2,1.5,4.25,2.25,1,5,1,2,1,3,2,1,3,2,1,5,1,3,3,1,5,2,4,4,3,5,1,4,2,1,2,1,4,4,4,5,1,2,5,1
8b39b170,não gamificado,2.6,2.5,2.25,2.25,2.75,2.25,3.4,3.5,2,2.5,3,2,2,3,4,2,1,2,2,1,1,5,2,3,5,1,4,1,1,3,4,3,4,5,5,2,4,3,3,2,1,2,3,2,1,4
ddc3f0f6,gamificado,3.666666667,1,4,4.25,4,3.5,4,4.5,4.25,3.5,1,1,1,1,1,5,5,5,5,4,5,3,4,4,5,3,4,3,4,3,3,5,3,5,5,4,4,5,4,4,5,4,3,4,3,4
69611158,gamificado,2.838888889,3.25,1.5,2,3.75,2.75,3.8,2.25,3.25,3,4,5,2,2,1,2,2,1,2,3,2,1,4,5,4,2,4,2,3,2,3,2,4,4,1,1,4,3,5,2,1,5,5,4,1,2
b4f7c8dd,não gamificado,3.194444444,3,3.25,3.25,4.75,2.75,3,2.75,3.25,2.75,3,1,3,5,3,2,5,3,3,4,4,2,5,4,5,5,2,3,4,2,2,3,5,5,1,2,4,4,3,3,2,5,2,3,2,4
093da413,gamificado,3.155555556,3.25,3.5,3,2.75,3.25,3.4,3.5,3,2.75,2,4,5,2,4,4,4,2,1,3,4,4,3,4,2,2,4,5,2,2,5,4,1,5,5,1,3,5,2,4,1,5,3,5,2,1
d4ab7d96,não gamificado,2.627777778,2,2.5,2.75,1.5,3.5,3.4,3.5,2,2.5,2,1,2,3,3,2,2,3,2,1,3,5,3,1,1,1,3,4,2,5,4,4,3,5,3,3,5,3,4,1,1,2,5,1,3,1
a9d87bce,gamificado,2.605555556,1.75,1.5,3.25,4,2.25,4.2,2.25,2.25,2,1,1,2,3,2,2,1,1,2,3,4,4,5,3,3,5,3,3,2,1,3,1,3,2,2,3,2,2,4,1,2,2,1,1,3,3
744ea24b,não gamificado,2.361111111,2.25,1.5,4.5,2.75,2,2,2.25,2.5,1.5,3,2,1,3,3,1,1,1,5,5,5,3,4,1,1,5,1,1,3,3,2,2,2,2,2,3,2,2,4,2,2,2,1,1,2,2
c984ce85,gamificado,2.244444444,2.75,1.75,2.75,3,2.25,2.2,1.75,2,1.75,3,2,3,3,1,1,2,3,1,2,5,3,4,1,3,4,1,3,2,3,3,3,2,3,3,1,1,2,3,2,2,1,2,1,1,3
14121700,não gamificado,2.227777778,2.25,2,2.5,2.75,1.5,2.8,2.25,2.5,1.5,3,1,2,3,3,1,2,2,4,4,1,1,4,2,1,4,3,1,1,1,1,1,3,1,3,2,1,3,5,1,2,2,1,1,3,1
3362c235,gamificado,2.155555556,1.25,2,3.5,2.75,2.25,1.4,3,1.5,1.75,1,1,2,1,2,1,3,2,5,2,2,5,3,2,4,2,2,1,3,3,1,1,2,2,3,3,3,3,2,2,1,1,2,1,1,3
eef41bb0,não gamificado,2.172222222,2.25,1.25,3.25,3.25,1.25,1.8,2.75,1.5,2.25,3,1,3,2,1,1,1,2,2,4,5,2,4,3,5,1,2,1,1,1,1,1,2,3,3,3,2,3,1,2,2,1,2,2,2,3
00552973,não gamificado,3.922222222,3.5,4,3.5,4,3.75,3.8,3.5,5,4.25,3,5,5,1,1,5,5,5,4,5,4,1,3,5,5,3,5,3,3,4,5,4,4,5,1,5,4,4,5,5,5,5,5,3,5,4
f46ef02e,gamificado,2.205555556,2,2,3.25,2.75,3,1.6,1.75,2,1.5,3,1,1,3,3,2,2,1,2,4,4,3,3,1,2,5,5,2,3,2,1,2,2,1,1,2,1,3,5,1,1,1,1,1,3,1
29f829ab,não gamificado,2.316666667,1.75,3,3.25,4.25,2.5,1.6,1.75,1.5,1.25,1,2,3,1,3,3,3,3,5,4,1,3,4,5,5,3,2,3,3,2,3,3,3,1,1,2,3,1,2,1,2,1,2,1,1,1
0ec7e6c2,gamificado,2.027777778,1.75,2.25,1.5,2,2.75,2,2,2.5,1.5,1,1,3,2,2,2,2,3,1,2,1,2,3,1,3,1,3,3,3,2,2,2,1,2,1,1,3,3,5,2,1,2,2,1,2,1
94324565,gamificado,1.905555556,2.25,1.75,1.5,2.75,1.5,2.4,1.75,1.5,1.75,2,2,3,2,1,2,1,3,1,1,3,1,5,2,2,2,3,1,1,1,1,3,2,2,1,2,2,2,1,2,1,2,2,2,2,1
be4d70e5,gamificado,2.338888889,2.75,1.75,3.75,2.5,3.25,1.8,2.25,2,1,3,2,3,3,2,1,2,2,3,3,5,4,2,1,4,3,5,3,3,2,1,2,3,3,3,1,2,3,3,2,2,1,1,1,1,1
49a49ce0,não gamificado,2.061111111,2,2.25,2.75,2.5,1.75,1.8,2.25,1,2.25,3,1,1,3,3,1,3,2,5,3,2,1,1,5,1,3,2,2,2,1,1,2,2,3,3,1,3,2,1,1,1,1,2,2,3,2
3b4ccbc1,não gamificado,1.911111111,2,1.5,1.5,2,2.25,2.2,2.25,1.5,2,1,2,2,3,1,1,3,1,1,1,3,1,1,5,1,1,5,1,1,2,2,1,2,1,2,2,3,2,3,1,1,1,2,2,3,1
34d79ab8,gamificado,1.95,2,1.25,2.75,2,2,1.8,2.25,1.75,1.75,2,2,2,2,1,1,1,2,4,1,5,1,1,1,1,5,1,1,3,3,1,3,3,2,3,2,3,1,4,1,1,1,2,1,3,1
e941433d,não gamificado,2.183333333,1.25,2.75,3.75,2.25,2.25,2.4,2,1.5,1.5,1,2,1,1,2,3,3,3,5,1,5,4,1,3,3,2,2,3,1,3,1,3,2,1,2,2,2,2,1,2,1,2,2,1,1,2
bd9f45bd,gamificado,3.988888889,3.25,4,4,2.5,4.25,4.4,4.5,4.75,4.25,4,4,1,4,2,4,5,5,5,4,5,2,1,3,3,3,4,5,5,3,3,5,5,4,5,4,5,4,5,4,5,5,3,5,4,5
35c5b93b,não gamificado,2.088888889,1.5,1.75,2.5,2.75,2,1.8,2,2.25,2.25,1,1,1,3,2,2,1,2,3,3,2,2,2,3,2,4,3,3,1,1,3,1,1,3,3,2,2,1,3,2,2,2,1,2,4,2
60099c38,não gamificado,3.972222222,3.25,3.75,3.75,4,4.75,4,3.75,4.5,4,5,1,3,4,2,5,4,4,5,4,4,2,4,3,5,4,5,5,5,4,5,3,4,4,1,5,5,4,4,5,5,4,5,5,1,5
4779490d,gamificado,4.083333333,3,4,4.25,4.5,4,4,5,4.75,3.25,3,3,2,4,2,5,4,5,4,5,5,3,3,5,5,5,3,4,4,5,4,4,3,4,5,5,5,5,5,4,5,5,5,3,1,4
9aef9088,não gamificado,4.055555556,3.25,4.5,4.5,3.25,3.75,4,4.5,4.5,4.25,1,2,5,5,3,5,5,5,4,5,5,4,2,5,3,3,3,4,5,3,4,5,4,3,4,5,4,5,5,4,5,4,5,4,3,5
